branch,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
N47#N39,96099,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8,35,14,0,0,0,16696,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,7,4,0,61734,14,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,22,97244,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40046,0,0,1,0,13,0,0,0,0,0,0,0,0,0,2,7,0,4,4,0,58294,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,2,1,0,0,1,31269,0,0,1,0,0,2,7,8,0,0,0,0,5,1,1,0,0,1,0,0,69965,0,13,6,0,0,0,0,0,8,38,0,0,0,0,0,6,0,1,0,1,84633,0,1,2,1,5,36,0,6,0,0,0,0,0,0,0,10,0,0,6,0,122345,7,0,0,4,2,1,0,9,0,0,1,0,0,0,0,0,0,2,0,9,29011,0,0,0,0,0,5,16,0,0,1,0,4,0,0,0,3,0,3,0,0,49321,0,0,0,26,4,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,59650,1,1,15,3,0,0,0,0,0,0,8,0,0,12,0,1,0,0,1,3,63237,14,0,1,0,0,0,0,3,0,0,0,4,8,0,9,0,1,0,0,18,66418,1,1,0,1,1,17,2,0,0,5,5,1,0,0,3,0,13,9,1,2,111707,10,0,0,0,20,0,0,0,0,0,0,7,0,0,5,3,2,0,0,7,72299,4,0,0,17,0,0,0,1,0,0,38,0,9,9,0,0,0,0,1,2,92446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0,2,0,0,0,31864
N48#N39,96099,1,9,13,1,41,1,3,1,3,1,1,23,0,2,71,157,85,0,0,0,16696,0,0,3,5,4,0,0,2,0,0,0,1,10,15,0,1,0,19,14,0,61734,113,0,21,5,0,1,0,0,46,1,1,0,8,1,0,0,5,27,0,132,97244,0,22,0,1,30,0,0,1,0,50,1,2,3,3,0,0,1,4,0,0,40046,0,1,13,0,80,0,0,0,0,0,10,0,15,2,26,37,4,16,27,1,58294,1,1,1,0,0,5,1,1,20,52,4,8,1,0,0,2,3,0,1,1,31269,0,0,12,0,13,7,50,39,3,0,0,0,31,7,0,0,0,6,0,0,69965,2,69,43,0,1,0,1,1,47,243,0,0,6,1,1,32,0,3,1,4,84633,1,2,39,1,55,195,7,22,0,0,0,4,0,0,2,63,1,3,42,0,122345,49,0,25,23,11,19,6,71,2,0,5,0,0,0,0,1,0,30,5,60,29011,1,0,1,1,0,26,61,0,0,8,1,51,3,0,13,37,2,27,1,0,49321,1,1,0,179,26,0,0,1,32,1,0,0,1,0,8,0,1,23,0,0,59650,12,8,49,9,4,0,0,1,0,0,37,0,1,53,0,26,15,0,2,32,63237,60,0,0,0,3,2,0,10,0,2,0,12,36,1,82,10,0,4,5,50,66418,10,4,1,8,0,108,19,6,1,12,76,7,4,5,23,0,119,72,2,20,111707,90,5,3,5,149,0,0,0,0,1,1,39,7,1,35,17,19,1,4,84,72299,29,0,0,114,0,0,3,3,10,0,188,0,58,46,0,0,0,0,1,18,92446,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,3,4,1,0,0,6084,0,0,12,1,0,43,0,39,0,1,1,0,4,0,3,2,9,0,0,1,31864
N49#N40,93921,8,74,103,10,256,3,66,30,58,44,25,189,13,16,690,910,612,0,3,12,17214,5,0,37,41,27,5,0,19,0,9,2,6,37,154,8,6,10,70,67,4,62043,1063,1,127,39,2,18,1,1,355,6,17,5,74,17,20,0,22,183,1,1239,98806,1,172,11,7,265,8,5,36,15,325,27,18,25,62,2,1,8,48,0,0,39760,4,8,48,0,327,6,1,3,1,2,59,3,64,2,206,289,30,111,166,1,56761,17,7,29,8,2,64,6,15,92,395,34,68,0,4,4,35,36,5,13,5,30676,2,12,67,0,118,56,263,188,32,7,0,0,181,45,5,4,2,45,9,0,74069,9,566,241,14,3,2,12,33,221,1481,0,1,31,0,13,194,0,21,27,12,90316,16,35,215,15,367,1023,63,156,14,2,1,67,9,1,6,413,6,50,442,11,119104,339,2,104,124,75,113,32,522,32,16,35,0,2,3,6,4,0,199,21,426,30808,2,0,6,21,12,149,230,3,1,24,15,276,31,3,58,183,22,162,5,5,53067,11,16,21,795,205,10,0,15,249,4,6,16,5,8,46,7,11,156,4,3,57384,90,42,436,116,31,0,3,19,5,16,339,0,13,361,1,267,133,3,23,200,63305,356,38,16,8,7,15,15,54,7,13,2,68,191,11,783,41,16,13,25,329,61807,77,47,3,27,7,675,217,50,21,82,306,47,40,34,191,14,603,325,11,123,111391,675,41,6,34,907,6,16,25,1,21,5,238,79,43,170,152,126,10,58,783,72730,184,0,2,546,7,12,47,50,68,2,1382,17,442,255,12,14,7,18,27,165,91543,0,2,4,12,0,1,9,9,0,0,0,23,1,0,0,3,26,3,0,1,5995,3,4,96,9,4,324,0,157,6,3,13,0,23,3,8,8,35,3,1,7,33892
N5#N2,88898,0,3,8,0,23,0,4,0,0,2,3,12,1,1,46,32,24,0,0,4,15871,0,0,3,0,0,0,0,2,0,0,0,0,0,16,1,1,0,4,2,0,61975,60,0,5,1,0,2,0,0,10,0,2,0,0,1,0,0,0,13,0,66,97526,0,8,2,0,4,0,0,2,3,23,0,2,2,7,0,0,0,1,0,0,37326,1,1,0,0,15,2,0,0,0,0,1,0,3,0,10,19,0,2,2,0,55588,0,0,0,0,0,5,1,1,7,20,5,5,0,0,1,0,0,1,0,0,27978,0,2,3,0,8,1,20,7,0,0,0,0,9,2,1,0,0,2,0,0,66286,1,29,20,0,0,0,1,3,8,45,0,0,3,0,1,6,0,0,0,0,85939,0,1,5,3,22,83,4,0,1,0,0,2,0,0,0,19,1,5,17,0,114553,16,0,4,14,3,3,3,45,0,0,3,0,0,1,1,0,0,15,4,26,29561,0,0,0,0,0,7,11,0,0,2,3,9,2,1,9,11,2,5,0,0,47747,0,3,0,42,14,0,0,2,14,0,0,0,0,0,2,0,3,4,0,0,55309,2,0,11,5,2,0,0,1,0,0,20,0,1,37,0,18,9,1,2,3,61427,14,2,2,0,0,0,0,2,1,0,0,1,10,0,40,1,1,0,0,11,63730,5,1,0,1,2,69,16,0,1,0,17,0,4,0,3,1,24,9,2,5,110320,42,1,1,4,40,1,1,3,0,0,1,5,8,3,15,9,6,0,1,64,69412,9,0,1,26,0,1,1,2,2,0,48,0,23,14,2,1,1,0,2,10,91997,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,0,0,5501,0,0,3,2,0,20,0,7,0,0,2,0,1,0,0,0,1,1,1,1,31921
N50#N40,93921,1,9,22,1,35,0,10,2,6,4,1,25,2,3,89,97,70,0,1,3,17214,0,0,5,7,1,0,0,4,0,1,0,1,9,36,1,1,1,13,10,0,62043,152,0,10,6,0,0,0,0,41,2,0,1,5,4,2,0,1,20,0,174,98806,0,24,1,1,32,2,3,5,3,52,3,0,6,10,0,0,3,4,0,0,39760,0,1,9,0,62,1,0,0,0,0,12,0,8,0,31,43,2,19,24,0,56761,3,0,8,2,0,9,1,3,16,70,3,5,2,0,0,5,1,0,3,1,30676,0,0,3,0,18,5,39,26,4,1,0,0,30,5,1,0,0,13,0,0,74069,1,80,33,3,0,0,1,3,25,154,0,1,5,0,2,25,0,1,3,2,90316,0,5,23,3,41,131,3,21,0,0,1,9,3,2,1,76,0,9,73,1,119104,65,1,21,16,8,17,6,76,4,2,6,0,0,1,0,0,0,27,3,66,30808,0,0,0,1,0,15,23,0,0,1,1,34,4,0,9,26,7,17,0,0,53067,0,2,0,68,20,2,0,6,39,2,1,2,1,0,5,2,1,28,0,2,57384,19,7,67,19,3,0,0,1,1,2,48,0,0,45,0,35,20,1,7,32,63305,43,2,0,0,1,2,0,10,0,5,0,9,32,0,136,5,1,5,2,53,61807,15,4,1,4,0,82,30,6,3,11,56,2,5,6,30,2,84,45,3,12,111391,109,3,0,4,109,1,1,2,0,0,1,38,14,4,24,24,14,2,6,77,72730,11,0,0,79,1,1,8,10,8,2,175,2,44,32,1,1,1,0,0,21,91543,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,5995,0,1,8,1,0,52,0,27,1,0,1,0,3,0,0,0,3,0,1,0,33892
N51#N41,92492,1,5,9,0,23,0,1,0,3,3,2,11,0,2,53,91,56,0,0,0,17288,0,0,0,1,0,0,0,0,0,0,0,0,3,20,0,0,1,8,7,0,62146,73,0,15,4,0,0,0,0,29,1,2,0,2,1,4,0,0,16,0,81,98420,0,14,1,0,37,0,0,0,0,26,4,1,1,7,0,0,0,4,0,0,39682,0,1,6,0,25,0,0,0,0,0,8,0,13,1,10,18,3,15,14,0,56786,0,0,0,0,0,5,0,1,12,32,1,5,0,0,1,1,2,0,0,0,30769,0,0,6,0,7,1,17,15,2,0,0,0,21,2,0,0,0,3,0,0,75512,0,47,15,0,0,0,2,1,19,115,0,0,1,0,1,9,0,0,0,1,90040,0,4,15,0,21,60,2,9,0,0,1,0,0,0,0,55,2,4,34,0,117916,24,0,9,5,3,3,0,48,3,0,0,0,0,1,1,1,0,27,2,38,31716,0,0,0,1,0,14,23,0,0,1,0,19,2,0,2,16,2,10,0,0,53773,0,0,1,63,14,0,0,0,28,0,0,0,0,0,2,0,0,24,0,0,56712,3,5,51,7,0,0,0,0,0,0,17,0,0,26,0,19,8,0,0,15,63852,24,1,0,0,1,0,1,2,0,1,0,7,18,2,60,4,1,1,5,27,62484,10,2,1,3,0,44,15,1,0,7,17,4,5,2,17,0,65,22,0,10,111749,45,0,0,2,65,0,0,1,1,1,1,45,6,0,22,9,16,1,2,49,74451,6,0,0,38,0,0,3,2,9,0,143,0,34,31,0,0,0,0,1,15,92132,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,5929,0,0,9,2,0,17,0,5,0,0,0,0,5,0,0,0,2,0,0,0,34183
N52#N41,92492,0,15,14,1,53,2,7,1,3,3,4,27,1,2,117,221,136,0,0,0,17288,0,0,7,10,6,0,0,1,0,0,0,0,12,30,0,1,2,23,14,0,62146,156,0,34,5,0,0,0,0,62,0,0,0,6,0,6,0,2,43,1,211,98420,0,27,1,1,61,0,1,1,3,65,1,1,3,5,1,0,0,8,0,0,39682,1,0,7,0,78,0,0,0,0,0,12,0,18,0,28,52,8,34,32,0,56786,1,1,5,2,0,4,0,3,15,82,0,11,3,0,0,4,3,0,0,1,30769,0,0,5,0,25,18,49,61,3,2,1,0,34,6,0,0,1,13,0,0,75512,1,95,45,2,0,0,0,6,51,294,0,0,2,0,0,38,0,0,0,2,90040,1,8,52,0,66,193,4,24,2,0,0,2,2,0,0,77,1,7,72,0,117916,70,0,21,15,12,21,1,112,3,0,4,0,0,0,0,0,0,72,6,69,31716,0,0,1,6,0,29,59,0,0,1,0,35,2,1,3,32,9,28,0,0,53773,0,3,3,162,31,1,0,7,46,0,0,0,0,0,7,0,1,49,0,0,56712,25,18,103,21,3,0,0,1,0,0,50,0,0,97,0,35,17,1,2,44,63852,92,3,0,1,5,0,2,12,0,0,0,9,52,2,135,4,1,0,5,68,62484,30,5,0,7,0,128,46,6,0,21,69,4,11,4,34,1,163,59,2,30,111749,113,3,0,5,178,0,1,0,0,2,0,75,10,4,48,24,27,1,5,106,74451,11,0,0,113,0,3,8,9,20,1,303,0,73,73,0,1,1,3,4,17,92132,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,2,8,1,0,0,5929,2,1,22,2,0,37,0,24,2,1,0,0,2,0,0,0,6,0,1,0,34183
N53#N42,93098,22,114,249,22,467,11,140,52,126,87,50,424,31,52,1184,1420,1049,3,2,33,17012,3,3,67,58,50,6,3,24,2,20,8,18,94,309,19,15,17,126,185,2,62059,1946,6,276,82,6,42,6,1,614,16,34,26,205,34,46,0,20,433,2,2142,99146,1,336,26,10,549,23,19,99,44,569,85,73,75,94,3,6,27,84,2,1,39370,15,24,115,3,805,9,3,16,6,12,110,20,144,3,399,607,45,219,319,6,56674,23,16,73,12,5,132,26,33,230,731,66,119,11,4,23,76,38,28,26,15,30126,6,33,95,0,236,95,503,409,84,10,10,2,321,174,5,8,5,123,19,9,74197,20,1114,447,29,7,3,15,65,427,3114,1,8,131,4,44,444,0,67,35,34,90567,32,59,359,43,529,2512,108,268,51,4,1,199,32,4,24,744,23,95,858,27,117966,661,6,260,244,164,251,97,1171,43,27,104,1,1,17,10,9,4,370,49,738,30937,10,11,17,56,25,287,498,5,0,92,19,538,68,7,177,271,51,351,14,7,53120,22,54,96,1640,391,24,1,45,603,14,7,23,21,28,84,12,21,305,8,12,57081,193,70,852,240,60,2,5,63,22,34,716,1,38,674,11,547,234,22,50,371,63563,757,62,33,24,22,23,65,98,6,49,5,156,310,19,1495,66,21,50,52,643,62263,163,86,14,46,14,1703,363,131,57,150,801,77,64,96,325,37,1112,701,46,235,111162,1315,103,10,68,1907,19,38,39,14,73,18,454,160,110,310,288,282,16,97,1470,73289,442,3,5,1285,10,40,110,96,140,2,2254,20,1001,408,14,50,20,39,91,358,91569,1,8,4,31,0,1,10,19,4,2,0,43,4,0,2,18,51,14,0,2,5886,7,12,200,21,5,586,10,337,3,6,38,1,52,13,27,30,75,11,7,6,34162
N54#N42,93098,20,140,237,20,593,13,172,51,115,108,52,394,24,42,1115,1923,1316,2,7,29,17012,2,1,77,84,45,4,3,26,2,18,8,13,87,269,16,6,20,157,159,11,62059,1789,2,266,99,8,32,7,2,746,13,51,15,156,51,56,0,23,427,2,2472,99146,3,358,39,19,626,23,21,103,33,616,89,51,79,152,4,7,29,85,5,0,39370,9,21,121,3,739,21,5,10,2,3,103,18,140,8,378,583,41,246,333,3,56674,32,15,59,16,8,119,19,37,238,755,97,110,12,3,16,61,52,14,21,16,30126,9,10,122,0,198,112,493,338,70,26,6,1,410,127,6,3,11,148,21,4,74197,19,1088,491,37,7,1,21,69,393,2736,1,4,99,4,53,417,1,57,46,46,90567,30,94,416,39,693,2333,142,329,34,3,8,129,30,8,17,804,20,95,875,24,117966,679,10,231,240,157,236,85,1220,62,20,79,1,1,9,10,7,2,446,52,757,30937,5,11,14,42,26,280,554,2,0,81,35,527,46,3,129,400,68,325,7,8,53120,25,54,68,1615,401,15,1,53,541,15,11,26,24,18,112,19,8,428,14,16,57081,176,90,1032,273,54,2,10,61,22,40,656,2,34,736,12,453,272,12,61,374,63563,658,62,34,17,23,33,42,171,8,38,6,146,462,33,1492,92,37,49,51,696,62263,170,72,18,71,20,1442,366,101,30,185,802,85,106,84,339,39,1320,636,39,251,111162,1447,116,15,83,1660,19,34,33,17,55,11,638,159,89,425,278,257,22,106,1300,73289,324,2,5,1122,8,33,89,95,163,5,2913,25,901,650,14,38,13,22,74,326,91569,1,4,1,24,0,4,6,23,2,0,2,40,2,0,0,16,37,10,0,6,5886,3,10,192,13,8,523,5,389,5,3,39,1,44,5,18,30,76,4,7,8,34162
N55#N43,83049,0,5,4,0,11,1,1,1,2,0,1,8,2,0,33,26,26,0,0,0,16758,0,0,4,1,1,0,0,0,0,0,0,0,1,6,0,0,1,1,1,0,62747,53,0,7,1,0,2,0,0,11,0,1,0,1,2,0,0,1,2,0,54,96237,0,4,0,0,2,1,0,2,1,17,0,0,0,2,0,0,0,0,0,0,38542,0,0,2,0,8,0,0,0,0,0,2,1,2,0,16,13,1,6,6,0,53345,1,0,1,1,1,3,0,1,2,9,0,1,0,0,0,0,2,0,0,0,29069,0,1,2,1,7,1,10,6,1,0,0,0,6,1,0,0,0,3,0,0,73919,0,23,9,1,0,0,0,1,6,42,0,0,0,0,0,8,0,0,3,0,89863,0,1,17,0,8,40,1,7,0,0,0,1,0,0,1,14,1,3,25,1,114694,22,0,7,10,1,2,2,10,1,1,0,0,0,1,0,0,0,12,1,13,29813,0,0,1,0,0,6,11,0,0,0,0,2,0,0,1,2,2,5,0,1,53229,0,3,0,22,4,0,0,4,8,0,1,1,0,0,2,1,0,6,0,0,53726,4,0,8,2,2,0,0,2,0,0,9,1,1,13,0,14,10,0,1,7,61339,8,0,2,1,0,0,0,3,0,0,1,1,10,1,32,0,0,2,0,9,59238,3,0,0,0,0,21,10,1,1,2,10,2,1,0,5,0,26,10,1,2,113520,27,0,0,1,24,0,0,0,0,2,0,5,8,1,1,10,3,0,0,42,70396,5,0,0,19,0,0,3,3,0,0,46,1,11,8,1,0,1,0,1,3,88481,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5619,0,0,2,0,0,20,0,3,0,0,1,0,3,0,0,0,0,0,0,0,33500
N56#N44,83370,27,35,106,5,194,6,41,22,60,20,31,155,23,11,634,387,298,0,2,12,16693,2,1,43,26,11,6,0,23,0,16,1,3,23,162,16,13,3,27,29,2,63252,985,1,52,30,4,11,2,0,224,5,27,5,45,12,13,0,10,114,1,1175,96423,1,81,10,3,131,23,4,38,14,286,23,30,33,49,0,2,6,21,3,1,38393,0,19,77,0,260,17,0,0,3,1,29,6,38,7,391,262,24,74,99,2,53834,9,5,27,12,8,79,11,14,36,273,33,48,4,0,3,4,26,15,10,4,29106,3,29,54,1,141,31,245,81,39,8,2,0,115,30,3,2,0,59,4,3,73539,13,523,169,22,6,3,5,19,111,900,2,7,30,3,15,102,1,17,15,14,90050,26,24,131,15,229,841,67,104,21,5,1,63,7,5,14,284,5,46,604,17,115041,431,8,42,130,36,61,36,501,7,28,18,0,0,7,13,0,1,167,31,361,29882,10,2,12,13,8,61,142,1,2,26,19,197,35,2,61,134,21,157,10,6,53152,9,36,30,462,160,14,0,18,182,2,5,25,3,8,40,6,19,56,7,15,54299,91,26,236,92,25,1,3,36,1,28,300,3,14,283,9,283,115,17,56,127,61662,173,26,29,11,0,9,3,23,1,8,3,34,91,9,753,33,13,27,11,158,59554,81,23,14,9,3,599,150,56,39,35,237,35,33,56,50,13,390,211,45,62,113763,833,34,7,25,361,14,11,28,7,29,8,122,84,41,69,168,89,17,24,678,70811,121,0,4,287,5,5,41,38,26,4,914,14,338,110,12,10,9,3,43,118,88756,4,2,1,8,0,1,16,1,2,1,0,13,2,0,1,2,9,4,1,3,5641,11,3,28,6,1,341,6,106,4,2,25,1,22,3,6,3,26,7,6,2,33555
N57#N45,88915,0,5,11,3,27,0,1,0,2,1,0,20,1,0,67,52,37,0,0,2,16844,0,0,5,3,1,0,0,2,0,0,0,0,3,25,0,2,2,11,7,0,64638,118,0,14,0,0,0,0,0,28,1,0,1,3,1,2,0,0,15,0,124,96555,0,8,0,0,12,0,0,3,0,37,1,2,3,9,0,0,0,5,0,0,39603,0,1,5,0,25,0,0,0,0,0,1,1,2,1,37,17,4,6,6,0,55457,0,0,2,0,0,5,1,1,4,35,2,8,1,0,0,1,2,1,0,0,30601,1,0,6,0,19,4,24,7,0,2,1,0,17,3,0,1,0,7,1,0,73154,1,54,21,4,1,0,1,3,7,103,0,1,1,0,0,13,0,1,2,4,89362,4,0,18,4,27,80,2,18,0,0,0,2,2,1,2,25,0,4,57,1,115649,55,0,7,10,5,15,4,43,0,1,0,1,0,1,1,1,0,16,3,48,32138,1,0,0,1,0,9,19,0,0,2,0,20,0,0,1,15,6,17,1,0,52569,1,2,2,53,16,1,0,2,10,0,0,1,0,1,5,0,0,5,0,0,54852,17,1,28,8,3,0,1,1,1,2,36,0,0,37,0,24,17,0,9,15,61919,14,1,0,1,0,0,0,4,0,2,0,5,10,3,69,7,2,1,1,18,61541,10,6,0,2,0,62,17,1,1,4,22,4,5,3,5,1,51,28,3,3,112746,77,0,0,1,54,0,1,0,0,1,1,17,11,1,10,25,12,1,1,77,73245,9,0,1,44,1,0,10,6,5,0,102,0,50,10,1,1,0,0,1,8,91559,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5711,1,0,6,1,0,34,0,12,1,0,3,0,1,0,0,0,2,0,0,0,32971
N58#N48,96173,0,6,28,1,33,0,7,0,7,1,2,26,1,0,115,246,129,0,0,1,16691,0,0,4,4,0,0,0,2,0,2,0,0,9,30,0,0,0,10,11,0,61758,163,0,19,7,0,0,0,0,66,0,0,0,9,0,1,0,0,21,0,200,97147,0,32,0,0,43,1,0,3,0,62,2,3,1,1,0,0,2,10,0,0,40015,1,1,7,0,93,0,0,0,0,0,16,0,7,0,35,42,0,22,41,0,58311,0,0,2,0,0,4,0,1,13,117,4,5,1,0,0,3,2,0,0,1,31310,1,0,12,0,19,12,66,47,5,0,0,0,31,4,0,0,0,9,0,0,69851,1,78,48,3,1,0,2,4,48,330,0,0,3,0,1,20,0,2,0,2,84344,0,1,25,1,66,221,4,24,0,0,0,2,1,0,3,68,1,6,59,0,122329,41,1,20,14,6,22,7,93,1,0,3,0,0,0,1,0,0,41,3,66,28970,0,0,0,1,1,45,82,0,0,3,1,58,0,0,5,27,3,23,0,0,49164,0,1,0,223,29,1,0,2,46,0,0,2,1,0,2,0,0,31,0,0,59675,14,3,95,8,0,0,0,1,0,2,47,0,2,52,0,31,17,0,0,28,63241,75,4,0,0,0,0,3,11,0,1,0,19,61,0,174,11,0,2,5,130,66636,21,1,1,6,0,112,30,8,2,8,61,5,3,2,23,0,141,64,2,13,111616,93,1,1,0,213,0,1,2,1,0,1,44,9,5,38,21,28,0,2,137,72291,12,0,0,118,1,1,3,4,11,0,269,1,83,63,0,1,0,0,0,13,92498,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,4,0,0,0,6085,0,0,19,2,0,47,0,33,1,0,1,0,6,0,1,0,6,1,1,0,31832
N59#N48,96173,3,37,67,7,131,2,16,7,22,15,10,101,4,3,311,632,420,0,0,2,16691,0,2,23,22,15,1,1,7,0,2,0,4,38,63,0,2,8,43,47,3,61758,508,1,125,33,2,6,1,0,182,2,3,2,32,6,5,0,4,115,0,564,97147,1,127,2,0,143,8,3,8,6,189,18,7,8,32,0,0,3,32,0,0,40015,0,1,37,0,278,3,1,3,0,0,41,2,38,1,87,178,11,55,103,1,58311,0,4,10,3,2,17,1,3,70,250,12,25,5,0,2,25,13,1,1,3,31310,0,3,35,0,40,41,169,186,11,1,1,0,128,31,1,3,0,30,3,1,69851,3,276,148,13,1,0,5,16,155,1045,0,0,14,1,5,138,0,13,9,9,84344,4,15,95,5,193,826,13,77,4,0,0,29,9,2,3,252,5,21,160,1,122329,168,1,84,46,31,81,13,321,11,7,20,0,1,2,1,5,0,125,11,216,28970,0,4,3,10,3,126,218,0,0,12,6,188,4,0,35,116,12,91,4,2,49164,3,9,21,560,112,4,0,12,146,2,4,4,4,0,28,2,2,123,3,3,59675,43,12,260,56,10,0,3,9,0,5,114,1,8,222,0,102,51,2,5,109,63241,318,9,3,3,6,5,7,44,2,13,1,69,163,2,416,31,4,5,24,243,66636,52,32,0,25,3,379,109,21,7,43,345,23,18,17,73,2,415,252,9,74,111616,297,16,7,7,653,2,1,12,1,10,2,150,36,18,102,55,85,4,31,393,72291,84,0,0,365,0,4,22,27,38,1,900,6,249,175,1,3,2,11,16,82,92498,2,1,0,9,0,0,0,8,0,0,1,5,0,0,1,5,20,4,0,0,6085,3,2,67,5,0,104,0,130,0,0,7,0,7,0,4,3,19,1,1,1,31832
N6#N3,86327,92,110,345,31,683,33,141,138,211,102,117,563,170,49,1460,950,892,8,22,90,15560,6,6,93,72,36,27,22,62,4,51,23,20,64,409,70,40,14,134,114,7,61833,3063,6,212,53,5,64,14,6,473,34,94,11,138,46,24,1,11,300,4,2652,98157,3,250,41,13,298,40,12,137,86,775,35,149,74,106,1,13,20,90,2,3,37646,7,56,185,4,760,40,19,15,10,6,69,16,115,53,1384,696,75,227,286,11,54810,21,9,110,37,21,292,60,72,112,735,118,101,10,12,23,19,70,54,61,23,27338,7,95,121,8,325,114,683,203,110,27,10,8,390,92,17,8,23,176,13,12,68129,50,1458,340,53,33,30,21,64,217,1956,5,16,58,8,48,340,2,77,62,32,88704,69,57,302,56,608,1790,142,188,48,3,12,147,76,12,67,975,28,142,1722,95,113537,1055,26,206,419,105,207,146,1217,67,146,63,7,3,23,43,19,5,466,93,1290,29320,21,22,80,32,50,167,385,11,9,116,38,485,138,16,178,318,47,340,31,31,49044,42,143,87,790,364,20,0,63,377,10,27,94,9,67,115,12,57,173,14,47,54815,437,46,625,227,59,1,23,88,14,113,852,8,58,612,18,779,431,52,145,302,61094,439,171,101,54,6,52,51,72,19,94,6,136,203,10,3374,130,47,94,66,508,60813,179,112,22,36,27,1818,382,252,198,118,635,132,62,277,195,64,1324,652,221,209,109261,2092,170,19,99,811,64,48,107,29,96,40,312,296,156,201,398,292,170,91,1664,69062,377,6,20,740,53,27,153,181,114,21,3003,73,1350,322,33,88,48,25,134,354,90286,6,30,8,18,1,3,22,12,5,2,9,40,5,1,0,12,39,15,2,4,5451,22,12,83,25,7,907,4,252,19,4,75,6,51,14,31,17,81,14,21,42,32400
